model,accuracy,precision,recall,f1
MLP_val@0.5,0.9914561925048571,0.1493975903614458,0.8378378378378378,0.25357873210633947
MLP_test@0.5,0.9916436496418707,0.15738498789346247,0.8783783783783784,0.2669404517453799
MLP_val@0.99,0.9989466538704619,0.6705882352941176,0.7702702702702703,0.7169811320754716
MLP_test@0.99,0.9992509713964702,0.7692307692307693,0.8108108108108109,0.7894736842105263
MLP_val@Fb2=0.97,0.9986657615692517,0.5825242718446602,0.8108108108108109,0.6779661016949152
MLP_test@Fb2=0.97,0.998782828519264,0.6078431372549019,0.8378378378378378,0.7045454545454546
MLP_val@t*unc,0.999180730788137,0.7671232876712328,0.7567567567567568,0.7619047619047619
MLP_test@t*unc,0.9993914142596321,0.875,0.7567567567567568,0.8115942028985508
AE_val@F1,0.9985253154186465,0.627906976744186,0.36486486486486486,0.46153846153846156
AE_test@F1,0.9987594213754037,0.7692307692307693,0.40540540540540543,0.5309734513274337
LR_val@0.99,0.9985721308021815,0.5619047619047619,0.7972972972972973,0.659217877094972
LR_test@0.99,0.9989934928140068,0.6741573033707865,0.8108108108108109,0.7361963190184049
LR_val@t*unc,0.9992509538634395,0.8088235294117647,0.7432432432432432,0.7746478873239436
LR_test@t*unc,0.9994382285473526,0.9310344827586207,0.7297297297297297,0.8181818181818182
IF_val@F1,0.9925797617096979,0.11182108626198083,0.47297297297297297,0.18087855297157623
IF_test@F1,0.9927203782594448,0.11147540983606558,0.4594594594594595,0.17941952506596306
