model,accuracy,precision,recall,f1,pos_ratio
MLP_prior_0.01@F1,0.9975656570385282,0.9498607242339833,0.7985948477751756,0.8676844783715013,0.01
LR_prior_0.01@F1,0.9974252141753663,0.9226666666666666,0.810304449648712,0.8628428927680798,0.01
IF_prior_0.01@F1,0.9883900566452881,0.4267515923566879,0.4707259953161593,0.44766146993318484,0.01
MLP_prior_0.05@F1,0.989443378119002,0.9901105293775451,0.7968164794007491,0.8830090791180285,0.05
LR_prior_0.05@F1,0.9901221852909508,0.9836343115124153,0.8160112359550562,0.8920163766632548,0.05
IF_prior_0.05@F1,0.9671129628762698,0.7916999201915403,0.46441947565543074,0.5854234287400413,0.05
MLP_prior_0.10@F1,0.9814615420626375,0.9948805460750854,0.8188202247191011,0.8983050847457628,0.1
LR_prior_0.10@F1,0.9803614063012032,0.9922569544020649,0.8099250936329588,0.8918675086995747,0.1
IF_prior_0.10@F1,0.9398904545667338,0.8904674610449129,0.45482209737827717,0.6021072203284784,0.1
MLP_prior_0.20@F1,0.9608866626094283,0.9981156689375271,0.8059456928838952,0.8917956355630383,0.2
LR_prior_0.20@F1,0.9628762698375545,0.9965743648301456,0.8171816479400749,0.8980064308681672,0.2
IF_prior_0.20@F1,0.8866392022845372,0.9481714700896101,0.45821629213483145,0.6178489702517163,0.2
